rainfall_7d,rainfall_30d,rainfall_90d,temp_mean_7d,dewpoint_mean_7d,wind_mean_7d,temp_same_day,dewpoint_same_day,wind_same_day,ndvi_nearest_composite,ndvi_anomaly,elevation_m,slope_deg,dist_to_water_m,presence
56.48,254.0,688.09,23.8,18.19,3.08,22.32,18.36,3.98,0.3782,-0.1663,1134.0,2.18,131.6,1
56.48,254.0,688.09,23.8,18.19,3.08,22.32,18.36,3.98,0.3782,-0.1663,1134.0,2.18,131.6,1
56.48,254.0,688.09,23.8,18.19,3.08,22.32,18.36,3.98,0.3782,-0.1663,1134.0,2.18,131.6,1
56.48,254.0,688.09,23.8,18.19,3.08,22.32,18.36,3.98,0.3782,-0.1663,1134.0,2.18,131.6,1
76.89,224.44,718.13,25.31,17.2,2.62,27.52,13.64,1.87,0.5716,0.3451,1134.0,0.0,182.2,1
31.99,70.21,285.27,26.4,14.24,2.32,25.73,15.32,2.06,0.3691,-0.0976,1134.0,2.18,131.6,1
31.99,70.21,285.27,26.4,14.24,2.32,25.73,15.32,2.06,0.3691,-0.0976,1134.0,2.18,131.6,1
13.37,94.22,275.25,26.29,18.36,2.63,27.68,18.23,2.21,0.5456,-0.0064,1215.0,2.49,1010.9,1
13.37,94.22,275.25,26.29,18.36,2.63,27.68,18.23,2.21,0.5456,-0.0064,1215.0,2.49,1010.9,1
83.93,366.53,661.81,26.25,17.47,2.77,27.54,16.77,2.58,0.7115,0.1584,1134.0,2.18,131.6,1
29.4,193.49,435.73,26.32,15.86,2.26,26.57,16.11,2.19,0.7485,0.204,1134.0,2.18,131.6,1
29.4,193.49,435.73,26.32,15.86,2.26,26.57,16.11,2.19,0.7485,0.204,1134.0,2.18,131.6,1
31.23,76.53,514.26,27.19,17.15,2.75,27.73,16.63,3.2,0.2261,0.1511,1134.0,0.0,182.2,1
107.32,341.61,473.72,25.54,18.63,3.21,27.34,17.33,2.43,0.701,0.1364,1134.0,2.18,131.6,1
48.84,76.81,729.76,23.86,15.98,2.53,25.67,14.63,1.91,0.6064,0.0573,1134.0,2.18,131.6,1
49.95,262.84,321.33,25.57,17.56,2.88,26.36,17.11,3.08,0.5311,-0.0335,1134.0,2.18,131.6,1
22.58,97.72,407.88,26.18,14.41,1.88,26.19,14.3,2.45,0.5514,0.0847,1134.0,2.18,131.6,1
0.0,61.74,290.73,34.63,3.28,2.02,34.4,3.29,1.86,0.5437,0.0214,1158.0,0.98,231.0,1
0.0,61.74,290.73,34.63,3.28,2.02,34.4,3.29,1.86,0.5437,0.0214,1158.0,0.98,231.0,1
0.0,168.68,419.45,27.75,14.08,1.84,29.03,12.95,1.48,0.5624,0.0179,1134.0,2.18,131.6,1
0.0,18.85,298.48,32.69,2.47,1.44,34.11,2.04,0.79,0.097,-0.0676,1134.0,0.0,16.7,1
0.0,18.85,298.48,32.69,2.47,1.44,34.11,2.04,0.79,0.097,-0.0676,1134.0,0.0,16.7,1
69.85,78.76,230.35,26.11,15.92,2.99,25.41,17.26,4.17,0.7526,0.224,1134.0,2.18,131.6,1
9.05,74.1,327.75,27.71,13.44,1.47,28.32,11.12,1.45,0.5365,-0.0467,1150.0,1.24,2851.5,1
9.05,74.1,327.75,27.71,13.44,1.47,28.32,11.12,1.45,0.5365,-0.0467,1150.0,1.24,2851.5,1
9.05,74.1,327.75,27.71,13.44,1.47,28.32,11.12,1.45,0.5365,-0.0467,1150.0,1.24,2851.5,1
9.05,74.1,327.75,27.71,13.44,1.47,28.32,11.12,1.45,0.5365,-0.0467,1150.0,1.24,2851.5,1
35.17,163.57,397.63,26.88,16.36,1.55,27.81,15.52,1.29,0.7079,0.0668,1158.0,0.98,231.0,1
64.57,145.52,379.83,23.88,17.37,2.27,25.21,15.44,3.16,0.6723,0.0312,1158.0,0.98,231.0,1
