key,scientificName,decimalLatitude,decimalLongitude,eventDate,year,grid_cell_id,within_scheme_boundary
822524370,"Bostrychia hagedash (Latham, 1790)",-0.393,35.237144,2012-07-17,2012,cell_0266,False
3306657416,"Elminia longicauda (Swainson, 1838)",0.042083,35.04125,2019-04-14,2019,cell_0200,False
6422488547,"Motacilla aguimp Temminck, 1820",0.364634,34.857324,2026-06-22T09:32:57,2026,cell_0146,False
5007374876,"Colobus guereza matschiei Neumann, 1899",-0.141736,34.824559,2024-12-25T15:08,2024,cell_0117,False
3351082197,Plagiorchiida,-0.32,35.01,2013-03-10,2013,cell_0193,False
2669352034,"Oreolais pulcher (Sharpe, 1891)",0.0724,34.97738,2019-05-02,2019,cell_0181,False
657609045,Carabidae,0.25,34.85,2001-09-07,2001,cell_0125,False
3326296577,"Pycnonotus tricolor (Hartlaub, 1862)",0.292083,34.957917,2021-07-11,2021,cell_0185,False
4919184015,"Pycnonotus barbatus (Desfontaines, 1789)",0.284851,34.761581,2024-07-30T09:14:14,2024,cell_0107,False
1346512846,"Motacilla aguimp Temminck, 1820",0.212681,34.92315,2015-01-12,2015,cell_0163,False
2249871956,BOLD:ADE1279,0.175,35.0876,2016-05-05,2016,cell_0223,False
975747110,"Pycnonotus barbatus (Desfontaines, 1789)",-0.401222,34.665188,2013-11-28,2013,cell_0056,False
46826196,"Ceratitis fasciventris (Bezzi, 1920)",-0.183333,35.2667,2000-08-17,2000,cell_0286,False
4611162380,"Ploceus castanops Shelley, 1888",-0.144885,34.736954,2023-04-06,2023,cell_0079,False
2190418173,"Columba guinea Linnaeus, 1758",-0.12973,34.740883,2018-10-01,2018,cell_0079,False
657640501,Pselaphidae,0.25,34.85,2001-09-07,2001,cell_0125,False
3513368748,"Eurillas latirostris (Strickland, 1844)",0.212681,34.92315,2021-05-01,2021,cell_0163,False
838103051,"Ploceus pelzelni (Shelley, 1887)",-0.349614,34.654755,2012-07-12,2012,cell_0057,False
6413895438,"Nudaurelia petiveri Guérin-Méneville, 1845",0.297092,34.773338,2026-06-02T15:52:15,2026,cell_0107,False
3326297565,"Chalcomitra senegalensis (Linnaeus, 1766)",0.292083,34.79125,2021-07-08,2021,cell_0107,False
1986732183,"Actophilornis africanus (J.F.Gmelin, 1789)",-0.166667,34.783333,2017-06-01,2017,cell_0098,False
2697658003,"Muscicapa adusta (F.Boie, 1828)",0.179171,35.010883,2019-09-06,2019,cell_0203,False
975746456,"Cypsiurus parvus (M.H.K.Lichtenstein, 1823)",-0.401222,34.665188,2013-11-28,2013,cell_0056,False
3326299576,"Ploceus cucullatus (Statius Muller, 1776)",0.292083,34.79125,2021-07-08,2021,cell_0107,False
1831098922,"Trioceros ellioti (Günther, 1895)",0.230712,34.754133,2018-02-26T11:18Z,2018,cell_0106,False
1200328532,"Dendropicos fuscescens (Vieillot, 1818)",0.259208,35.088444,2013-05-12,2013,cell_0224,False
968712540,"Corythornis cristatus (Pallas, 1764)",-0.129518,34.740944,2013-10-13,2013,cell_0079,False
2626125466,"Bematistes Hemming, 1935",-0.518515,35.048507,2020-03-09,2020,cell_0189,False
958752802,"Chalcomitra rubescens (Vieillot, 1819)",0.290505,34.83902,2013-06-06,2013,cell_0126,False
2249872569,BOLD:ADE1279,0.175,35.0876,2016-05-05,2016,cell_0223,False
1986779663,"Lybius bidentatus (Shaw, 1799)",0.182023,35.235379,2018-05-12,2018,cell_0278,False
2988294803,Pontederia crassipes Mart.,-0.322316,34.723011,2020-11-01T17:43:34,2020,cell_0076,False
2265825932,"Papio anubis (Lesson, 1827)",-0.236903,35.395503,2019-06-07T10:29:55,2019,cell_0313,False
1947775587,"Xenopus victorianus Ahl, 1924",0.30725,34.76004,2018-04-06,2018,cell_0107,False
818380902,"Batis erlangeri Neumann, 1907",-0.031405,34.938595,2012-02-18,2012,cell_0158,False
3454085530,"Oreolais pulcher (Sharpe, 1891)",0.20875,34.957917,2021-11-11,2021,cell_0183,False
1947775597,"Xenopus victorianus Ahl, 1924",-0.12248,35.25958,2018-04-05,2018,cell_0288,False
3306660340,"Ploceus baglafecht (Daudin, 1802)",0.042083,35.04125,2019-04-14,2019,cell_0200,False
6441992609,Momordica foetida Schum.,0.132671,34.869702,2026-07-04T16:58:39,2026,cell_0142,False
142742655,"Bactrocera cucurbitae (Coquillett, 1899)",0.016667,35.1833,2001-08-01,2001,cell_0256,False
1346512855,"Turdus pelios Bonaparte, 1850",0.212681,34.92315,2015-01-12,2015,cell_0163,False
577014409,"Apalis cinerea (Sharpe, 1891)",-0.379649,35.37572,2011-01-22,2011,cell_0310,False
975746999,"Scopus umbretta Gmelin, 1789",-0.401222,34.665188,2013-11-28,2013,cell_0056,False
1986731376,"Accipiter minullus (Daudin, 1800)",-0.536035,34.671627,2018-03-20,2018,cell_0053,False
3819436906,"Spermestes cucullata Swainson, 1837",-0.457917,34.874583,2022-05-14,2022,cell_0130,False
1415643265,BOLD:ABU9678,0.228,34.963,2012-06-25,2012,cell_0184,False
2692446125,"Saxicola torquatus (Linnaeus, 1766)",0.179171,35.010883,2019-08-14,2019,cell_0203,False
2692556281,"Dendrocygna viduata (Linnaeus, 1766)",-0.171318,34.910065,2019-08-30,2019,cell_0156,True
2669519487,"Ploceus baglafecht (Daudin, 1802)",0.06314,34.913345,2019-05-04,2019,cell_0160,False
1416040620,BOLD:ACF2797,0.11,35.25,2011-12-06,2011,cell_0292,False
3306569691,"Spermestes cucullata Swainson, 1837",0.125417,34.957917,2015-12-31,2015,cell_0182,False
6162782062,Oxalis latifolia Kunth,-0.541353,34.814636,2026-02-22T09:24:22,2026,cell_0109,False
4610147151,"Sarothrura pulchra (J.E.Gray, 1829)",0.212681,34.92315,2023-08-28,2023,cell_0163,False
142745593,"Dacus limbipennis Macquart, 1844",-0.183333,35.2667,2000-10-12,2000,cell_0286,False
1986732202,"Actophilornis africanus (J.F.Gmelin, 1789)",-0.152055,34.81543,2017-09-07,2017,cell_0117,False
3819425108,"Egretta intermedia (Wagler, 1829)",-0.457917,34.54125,2022-06-14,2022,cell_0009,False
3997605890,"Ploceus cucullatus (Statius Muller, 1776)",-0.046892,34.792124,2022-10-18,2022,cell_0100,False
1883745976,"Hipposideros caffer (Sundevall, 1846)",-0.11742,34.54124,2015-03-17,2015,cell_0016,False
3454076127,"Microcarbo africanus (Gmelin, 1789)",0.125417,35.124583,2021-10-09,2021,cell_0241,False
4416307427,"Ptychadena anchietae (Bocage, 1868)",-0.125,34.875,2023-03-16,2023,cell_0137,False
4465454244,Achyranthes aspera L.,0.182523,35.161428,2023-12-07T16:47,2023,cell_0260,False
1986762654,"Cyanomitra verticalis (Latham, 1790)",0.199587,35.119665,2017-08-11,2017,cell_0242,False
3306575701,"Lophaetus occipitalis (Daudin, 1800)",-0.124583,34.79125,2016-07-10,2016,cell_0099,False
4892009221,"Lamprotornis superbus Rüppell, 1845",-0.130811,34.794937,2024-06-03T08:34:26,2024,cell_0098,False
1986731824,"Acrocephalus gracilirostris (Hartlaub, 1864)",-0.166667,34.783333,2017-06-01,2017,cell_0098,False
3306587041,"Spermestes cucullata Swainson, 1837",0.20875,34.957917,2017-02-05,2017,cell_0183,False
46824693,"Ceratitis discussa Munro, 1935",-0.183333,35.2667,2000-05-03,2000,cell_0286,False
3926511944,"Hirundo rustica Linnaeus, 1758",-0.124583,35.207917,2022-08-03,2022,cell_0272,False
818697726,"Anaplectes rubriceps (Sundevall, 1850)",-0.02706,35.04305,2012-02-17,2012,cell_0199,False
4046302368,"Milvus migrans (Boddaert, 1783)",-0.039139,34.62204,2023-02-20T00:02,2023,cell_0047,False
1986743541,"Bycanistes subcylindricus (P.L.Sclater, 1871)",0.069228,35.033307,2018-01-05,2018,cell_0200,False
4165365272,"Varanus niloticus (Linnaeus, 1766)",-0.33944,34.509961,2023-07-18T02:49:58,2023,cell_0011,False
865162638,Formicidae,0.33,34.87,2001-04-24,2001,cell_0146,False
577029937,"Actophilornis africanus (J.F.Gmelin, 1789)",-0.171296,34.910088,2011-07-14,2011,cell_0156,True
3306584102,"Hirundo rustica Linnaeus, 1758",0.20875,34.957917,2017-02-05,2017,cell_0183,False
3454077121,"Motacilla cinerea Tunstall, 1771",0.125417,35.124583,2021-10-09,2021,cell_0241,False
4046254333,"Corvus albus Statius Muller, 1776",-0.053668,34.758256,2023-02-17T04:30,2023,cell_0100,False
4925834735,"Junonia Hübner, 1819",0.350525,34.868901,2024-06-23T12:06,2024,cell_0146,False
2690652007,"Crithagra striolata (Rüppell, 1840)",0.179171,35.010883,2019-08-03,2019,cell_0203,False
4400826344,"Philothamnus battersbyi Loveridge, 1951",0.125,35.125,2023-04-05,2023,cell_0241,False
1986733968,"Anastomus lamelligerus Temminck, 1823",-0.071718,34.775727,2017-11-22,2017,cell_0100,False
1947775593,"Xenopus victorianus Ahl, 1924",0.14782,35.15558,2018-04-09,2018,cell_0259,False
1986740929,"Bostrychia hagedash (Latham, 1790)",0.069243,34.486187,2017-12-29,2017,cell_0008,False
2249872064,BOLD:ADE1279,0.2234,35.1347,2016-05-04,2016,cell_0243,False
1986736564,"Apus caffer (M.H.K.Lichtenstein, 1823)",0.202888,35.104058,2017-08-11,2017,cell_0242,False
4046323282,"Pycnonotus barbatus (Desfontaines, 1789)",-0.052982,34.756882,2023-02-17T22:31,2023,cell_0100,False
