Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD13Q1_061_Line_Y_250m,MOD13Q1_061_Sample_X_250m,MOD13Q1_061__250m_16_days_NDVI,MOD13Q1_061__250m_16_days_VI_Quality,MOD13Q1_061__250m_16_days_VI_Quality_bitmask,MOD13Q1_061__250m_16_days_VI_Quality_MODLAND,MOD13Q1_061__250m_16_days_VI_Quality_MODLAND_Description,MOD13Q1_061__250m_16_days_VI_Quality_VI_Usefulness,MOD13Q1_061__250m_16_days_VI_Quality_VI_Usefulness_Description,MOD13Q1_061__250m_16_days_VI_Quality_Aerosol_Quantity,MOD13Q1_061__250m_16_days_VI_Quality_Aerosol_Quantity_Description,MOD13Q1_061__250m_16_days_VI_Quality_Adjacent_cloud_detected,MOD13Q1_061__250m_16_days_VI_Quality_Adjacent_cloud_detected_Description,MOD13Q1_061__250m_16_days_VI_Quality_Atmosphere_BRDF_Correction,MOD13Q1_061__250m_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description,MOD13Q1_061__250m_16_days_VI_Quality_Mixed_Clouds,MOD13Q1_061__250m_16_days_VI_Quality_Mixed_Clouds_Description,MOD13Q1_061__250m_16_days_VI_Quality_Land/Water_Mask,MOD13Q1_061__250m_16_days_VI_Quality_Land/Water_Mask_Description,MOD13Q1_061__250m_16_days_VI_Quality_Possible_snow/ice,MOD13Q1_061__250m_16_days_VI_Quality_Possible_snow/ice_Description,MOD13Q1_061__250m_16_days_VI_Quality_Possible_shadow,MOD13Q1_061__250m_16_days_VI_Quality_Possible_shadow_Description
QueleaGuard pseudo-absence v2 grid cell,cell_0279,0.245259,35.222708,2017-07-28,h21v08,4682.0,2506.0,0.7525,2189.0,0b0000100010001101,0b01,"VI produced, but check other QA",0b0011,Decreasing quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
QueleaGuard pseudo-absence v2 grid cell,cell_0279,0.245259,35.222708,2017-08-13,h21v08,4682.0,2506.0,0.7105,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
QueleaGuard pseudo-absence v2 grid cell,cell_0279,0.245259,35.222708,2017-08-29,h21v08,4682.0,2506.0,0.7684,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
QueleaGuard pseudo-absence v2 grid cell,cell_0279,0.245259,35.222708,2017-09-14,h21v08,4682.0,2506.0,0.6731,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
QueleaGuard pseudo-absence v2 grid cell,cell_0279,0.245259,35.222708,2017-09-30,h21v08,4682.0,2506.0,0.7162,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
QueleaGuard pseudo-absence v2 grid cell,cell_0279,0.245259,35.222708,2017-10-16,h21v08,4682.0,2506.0,0.7003,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
QueleaGuard pseudo-absence v2 grid cell,cell_0279,0.245259,35.222708,2017-11-01,h21v08,4682.0,2506.0,0.6909,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
QueleaGuard pseudo-absence v2 grid cell,cell_0279,0.245259,35.222708,2017-11-17,h21v08,4682.0,2506.0,0.7319,2120.0,0b0000100001001000,0b00,VI produced with good quality,0b0010,Decreasing quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
QueleaGuard pseudo-absence v2 grid cell,cell_0279,0.245259,35.222708,2017-12-03,h21v08,4682.0,2506.0,0.671,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
QueleaGuard pseudo-absence v2 grid cell,cell_0279,0.245259,35.222708,2017-12-19,h21v08,4682.0,2506.0,0.5893,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
QueleaGuard pseudo-absence v2 grid cell,cell_0279,0.245259,35.222708,2018-01-01,h21v08,4682.0,2506.0,0.568,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
QueleaGuard pseudo-absence v2 grid cell,cell_0279,0.245259,35.222708,2018-01-17,h21v08,4682.0,2506.0,0.5799,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
QueleaGuard pseudo-absence v2 grid cell,cell_0279,0.245259,35.222708,2018-02-02,h21v08,4682.0,2506.0,0.3692,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
QueleaGuard pseudo-absence v2 grid cell,cell_0279,0.245259,35.222708,2018-02-18,h21v08,4682.0,2506.0,0.3402,2445.0,0b0000100110001101,0b01,"VI produced, but check other QA",0b0011,Decreasing quality,0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
QueleaGuard pseudo-absence v2 grid cell,cell_0279,0.245259,35.222708,2018-03-06,h21v08,4682.0,2506.0,0.4475,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
QueleaGuard pseudo-absence v2 grid cell,cell_0279,0.245259,35.222708,2018-03-22,h21v08,4682.0,2506.0,0.5284,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
